"","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bathrooms_text","bedrooms","beds","amenities","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","estimated_occupancy_l365d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","reviews_per_month","price_per_room","rating_q1"
"11","2011-10-24","within an hour","100%","93%","t","",75,78,"['email', 'phone']","t","t","Warringah",-33.7735680067605,151.27561525262,"Entire home","Entire home/apt",6,3,"3 baths",3,3,"[""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Washer"", ""Microwave"", ""Outdoor furniture"", ""Dishes and silverware"", ""Cleaning products"", ""Hangers"", ""Body soap"", ""Extra pillows and blankets"", ""Hair dryer"", ""Bed linens"", ""Free parking garage on premises \u2013 1 space"", ""Bathtub"", ""Private patio or balcony"", ""Stove"", ""Air conditioning"", ""Central heating"", ""Barbecue utensils"", ""Self check-in"", ""Private hot tub"", ""Hot water"", ""TV"", ""Outdoor dining area"", ""Clothing storage: walk-in closet, closet, and wardrobe"", ""Wine glasses"", ""Essentials"", ""Freezer"", ""Coffee maker: Nespresso"", ""Lockbox"", ""Cleaning available during stay"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Iron"", ""Smoke alarm"", ""Stainless steel oven"", ""Dining table"", ""Cooking basics"", ""Coffee"", ""Wifi"", ""Hot water kettle"", ""Free dryer"", ""Long term stays allowed"", ""Private entrance""]",4,365,4,21,365,365,7.1,"t",0,10,40,109,2,1,0,8,"2023-09-30","2024-08-25",5,5,5,5,5,4,4.5,"f",0.1,133.33,1
"12","2016-10-01","within an hour","94%","100%","f","",8,10,"['email', 'phone']","t","t","Marrickville",-33.92594,151.16086,"Private room in cabin","Private room",1,2,"2 shared baths",1,1,"[""Conditioner"", ""Refrigerator"", ""Kitchen"", ""Washer"", ""Microwave"", ""Drying rack for clothing"", ""Shower gel"", ""Dishes and silverware"", ""Dryer"", ""Hangers"", ""Blender"", ""Portable heater"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Hair dryer"", ""Bed linens"", ""Fire extinguisher"", ""Stove"", ""Smart lock"", ""Clothing storage"", ""Self check-in"", ""Hot water"", ""Dedicated workspace"", ""Essentials"", ""Toaster"", ""Iron"", ""Smoke alarm"", ""Long term stays allowed"", ""Dining table"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Hot water kettle"", ""First aid kit"", ""Rice maker""]",1,365,1,1,365,365,1,"t",26,55,85,90,39,39,1,234,"2024-09-29","2025-06-12",4.67,4.69,4.64,4.85,4.87,4.64,4.59,"f",4.47,80,0
"13","2016-09-15","within a few hours","84%","83%","f","Palm Beach",39,81,"['email', 'phone', 'work_email']","t","t","Pittwater",-33.64008,151.31806,"Entire rental unit","Entire home/apt",4,1.5,"1.5 baths",1,1,"[""Refrigerator"", ""Kitchen"", ""Microwave"", ""Free street parking"", ""Dishes and silverware"", ""Hangers"", ""Extra pillows and blankets"", ""Hair dryer"", ""Bed linens"", ""Self check-in"", ""Hot water"", ""TV"", ""Backyard"", ""Heating"", ""Essentials"", ""Lockbox"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""First aid kit""]",90,1125,90,90,1125,1125,90,"t",28,58,88,363,36,0,0,0,"2019-10-27","2022-11-12",4.39,4.64,4.19,4.81,4.67,4.69,4.19,"f",0.52,99,0
"14","2018-11-28","within a few hours","100%","100%","t","",1,1,"['email', 'phone']","t","t","Liverpool",-33.9509489739493,150.862505994737,"Entire home","Entire home/apt",8,2.5,"2.5 baths",4,5,"[""Conditioner"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Washer"", ""Microwave"", ""Free street parking"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Shower gel"", ""Children's playroom"", ""Dishes and silverware"", ""Cleaning products"", ""Children\u2019s dinnerware"", ""Hangers"", ""Exterior security cameras on property"", ""Extra pillows and blankets"", ""Board games"", ""Free parking on premises"", ""Hair dryer"", ""Bed linens"", ""Fire extinguisher"", ""Central air conditioning"", ""Bathtub"", ""Stove"", ""Ping pong table"", ""TV with Netflix"", ""Central heating"", ""Oven"", ""Clothing storage"", ""Hot water"", ""Dedicated workspace"", ""Host greets you"", ""Essentials"", ""Freezer"", ""Toaster"", ""Baking sheet"", ""Iron"", ""Smoke alarm"", ""Long term stays allowed"", ""Dining table"", ""Cooking basics"", ""Coffee"", ""Wifi"", ""Shampoo"", ""Hot water kettle"", ""Free dryer"", ""First aid kit"", ""Rice maker""]",2,365,2,2,365,365,2,"t",28,58,88,179,16,5,1,30,"2022-11-13","2025-06-09",4.94,5,4.81,4.94,5,4.94,4.94,"f",0.51,101.25,1
"15","2018-12-17","within an hour","99%","87%","t","Bondi Beach",18,19,"['email', 'phone']","t","t","Sydney",-33.9130869778245,151.206629726984,"Entire rental unit","Entire home/apt",2,1,"1 bath",1,0,"[""Conditioner"", ""Kitchen"", ""Washer"", ""Microwave"", ""Drying rack for clothing"", ""Shower gel"", ""Dishes and silverware"", ""Cleaning products"", ""Dryer"", ""Hangers"", ""Body soap"", ""Pool"", ""Hair dryer"", ""Bed linens"", ""Stove"", ""Air conditioning"", ""Gym in building"", ""Oven"", ""Central heating"", ""Self check-in"", ""Crib - available upon request"", ""Hot water"", ""TV"", ""Dedicated workspace"", ""Wine glasses"", ""Freezer"", ""Coffee maker: Nespresso"", ""Hot tub"", ""Toaster"", ""Lockbox"", ""Iron"", ""Smoke alarm"", ""Long term stays allowed"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Exercise equipment""]",1,365,1,4,365,365,2.4,"t",12,34,64,80,18,18,2,108,"2024-09-17","2025-06-01",5,5,4.94,5,5,5,4.89,"f",1.97,201,1
"16","2016-01-31","within an hour","100%","100%","t","Bondi Beach",48,55,"['email', 'phone', 'work_email']","t","t","Woollahra",-33.8710628,151.2367243,"Entire rental unit","Entire home/apt",6,2,"2 baths",3,3,"[""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Microwave"", ""Free dryer \u2013 In unit"", ""Booster seat high chair - available upon request"", ""Drying rack for clothing"", ""Shower gel"", ""Dishes and silverware"", ""Vitality conditioner"", ""Cleaning products"", ""Hangers"", ""Clothing storage: walk-in closet"", ""Vitality shampoo"", ""Room-darkening shades"", ""Hair dryer"", ""Bed linens"", ""Fire extinguisher"", ""Free parking garage on premises \u2013 1 space"", ""Bathtub"", ""Stove"", ""Air conditioning"", ""Free washer \u2013 In unit"", ""Oven"", ""Self check-in"", ""Crib - available upon request"", ""Hot water"", ""TV"", ""Housekeeping - available at extra cost"", ""Heating"", ""Dedicated workspace"", ""Wine glasses"", ""Coffee maker"", ""Freezer"", ""Lockbox"", ""Toaster"", ""Harbor view"", ""Baking sheet"", ""Iron"", ""Smoke alarm"", ""Long term stays allowed"", ""Dining table"", ""Vitality body soap"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Coffee"", ""Wifi"", ""Hot water kettle"", ""First aid kit"", ""Pack \u2019n play/Travel crib - available upon request"", ""Private entrance""]",1,365,2,5,1125,1125,2.7,"t",15,27,27,27,15,15,0,90,"2024-08-19","2025-04-15",4.93,4.87,4.93,4.93,5,4.73,4.87,"f",1.49,161,0
"17","2022-08-12","within an hour","100%","100%","f","",8,8,"['phone']","t","t","Ku-Ring-Gai",-33.7635325,151.174327,"Entire home","Entire home/apt",10,4.5,"4.5 baths",5,5,"[""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Washer"", ""Microwave"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dryer"", ""Hangers"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Stove"", ""Air conditioning"", ""Oven"", ""Self check-in"", ""Hot water"", ""TV"", ""Heating"", ""Essentials"", ""Lockbox"", ""Toaster"", ""Private outdoor pool"", ""Iron"", ""Patio or balcony"", ""Cooking basics"", ""Hot water kettle"", ""Shampoo""]",2,45,2,4,45,45,3.1,"t",12,39,69,70,6,6,0,36,"2024-12-05","2025-04-27",4.33,4.5,5,5,4.83,4.83,4.5,"t",0.92,69.4,0
"18","2010-08-30","within an hour","100%","98%","t","Marrickville",3,6,"['email', 'phone']","t","t","Marrickville",-33.9103,151.15811,"Entire rental unit","Entire home/apt",5,1,"1 bath",1,1,"[""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Washer"", ""Microwave"", ""Free street parking"", ""Dishes and silverware"", ""Hangers"", ""Exterior security cameras on property"", ""Hair dryer"", ""Stove"", ""Air conditioning"", ""Self check-in"", ""Hot water"", ""TV"", ""Heating"", ""Essentials"", ""Lockbox"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Private entrance""]",1,1125,1,1,1125,1125,1,"t",8,8,10,11,174,56,5,255,"2019-09-24","2025-06-15",4.94,4.95,4.87,4.92,4.96,4.91,4.85,"f",2.49,141,1
"19","2021-06-07","within an hour","100%","100%","t","",2,2,"['phone']","t","t","The Hills Shire",-33.5210652070172,150.930114090443,"Farm stay","Entire home/apt",2,1,"1 bath",1,1,"[""Ceiling fan"", ""Refrigerator"", ""Kitchen"", ""Microwave"", ""Outdoor furniture"", ""Shower gel"", ""Dishes and silverware"", ""Cleaning products"", ""BBQ grill"", ""Indoor fireplace: wood-burning"", ""Body soap"", ""Extra pillows and blankets"", ""Board games"", ""Electric stove"", ""Room-darkening shades"", ""Free parking on premises"", ""Hair dryer"", ""Bed linens"", ""Fire extinguisher"", ""Bathtub"", ""CPR  conditioner"", ""Outdoor shower"", ""Private backyard \u2013 Not fully fenced"", ""Oven"", ""Barbecue utensils"", ""Self check-in"", ""Private hot tub"", ""Hot water"", ""TV"", ""AC - split type ductless system"", ""Heating"", ""Dedicated workspace"", ""Wine glasses"", ""Coffee maker"", ""Essentials"", ""Freezer"", ""Lockbox"", ""Toaster"", ""Books and reading material"", ""Baking sheet"", ""Iron"", ""Smoke alarm"", ""Fire pit"", ""Dining table"", ""Cooking basics"", ""Coffee"", ""Valley view"", ""Shampoo"", ""Wifi"", ""Hot water kettle"", ""First aid kit""]",2,365,2,3,365,365,2,"t",3,20,42,108,93,59,3,255,"2023-11-04","2025-06-03",4.99,4.96,4.99,4.99,4.97,4.92,4.77,"t",4.71,378,1
"20","2019-01-21","within an hour","99%","100%","t","",13,18,"['email', 'phone', 'work_email']","t","t","Sydney",-33.906841,151.201935,"Room in aparthotel","Private room",2,1,"1 private bath",1,1,"[""Conditioner"", ""Private living room"", ""Refrigerator"", ""Shower gel"", ""Pets allowed"", ""Gym"", ""Hangers"", ""Body soap"", ""Exterior security cameras on property"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Elevator"", ""Hair dryer"", ""Bed linens"", ""Fire extinguisher"", ""High chair - available upon request"", ""Air conditioning"", ""Clothing storage"", ""Paid dryer \u2013 In building"", ""Crib - available upon request"", ""TV"", ""Heating"", ""Wine glasses"", ""Coffee maker"", ""Host greets you"", ""Essentials"", ""Cleaning available during stay"", ""Luggage dropoff allowed"", ""Iron"", ""Smoke alarm"", ""Laundromat nearby"", ""Long term stays allowed"", ""Single level home"", ""Coffee"", ""Wifi"", ""Shampoo"", ""Exercise equipment"", ""Safe"", ""Paid washer \u2013 In building""]",1,90,1,14,99,99,1.3,"t",29,59,89,364,444,135,5,255,"2020-01-18","2025-06-02",4.74,4.81,4.75,4.85,4.74,4.8,4.69,"t",6.73,172,0
"21","2023-01-05","within an hour","100%","99%","f","",50,83,"['email', 'phone']","t","t","Holroyd",-33.8270491,151.0001973,"Private room in home","Private room",2,1,"1 shared bath",1,1,"[""Refrigerator"", ""Kitchen"", ""Washer"", ""Microwave"", ""Free street parking"", ""Shower gel"", ""Dishes and silverware"", ""Hangers"", ""Lock on bedroom door"", ""Hair dryer"", ""Bed linens"", ""Fire extinguisher"", ""Stove"", ""Smart lock"", ""Self check-in"", ""Hot water"", ""Dedicated workspace"", ""Toaster"", ""Luggage dropoff allowed"", ""Iron"", ""Smoke alarm"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Hot water kettle"", ""First aid kit""]",1,89,1,4,89,89,2.8,"t",22,52,82,357,13,13,1,78,"2024-10-16","2025-05-30",4.46,4.46,4.23,4.62,4.54,4.46,4.54,"f",1.59,51,0
"22","2016-06-17","within an hour","100%","100%","t","",9,16,"['email', 'phone', 'work_email']","t","t","Sutherland Shire",-34.0502330850345,151.154517014328,"Entire rental unit","Entire home/apt",6,2,"2 baths",2,4,"[""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Washer"", ""Microwave"", ""Free street parking"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Cleaning products"", ""Gym"", ""Dryer"", ""Hangers"", ""Body soap"", ""Exterior security cameras on property"", ""Extra pillows and blankets"", ""Beach access \u2013 Beachfront"", ""Room-darkening shades"", ""Pool"", ""Elevator"", ""Free parking on premises"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Stove"", ""Air conditioning"", ""Oven"", ""Resort access"", ""Sauna"", ""Clothing storage"", ""Self check-in"", ""Hot water"", ""TV"", ""Heating"", ""Wine glasses"", ""Essentials"", ""Freezer"", ""Lockbox"", ""Hot tub"", ""Toaster"", ""Iron"", ""Smoke alarm"", ""Laundromat nearby"", ""Long term stays allowed"", ""Dining table"", ""Patio or balcony"", ""Single level home"", ""Cooking basics"", ""Wifi"", ""Hot water kettle"", ""Exercise equipment""]",1,365,2,5,30,30,4.1,"t",0,0,0,0,13,13,0,78,"2024-11-17","2025-05-12",4.77,4.77,4.46,4.77,4.85,5,4.54,"t",1.83,101,0
"23","2016-05-20","within an hour","100%","87%","f","",1,2,"['email', 'phone']","t","t","The Hills Shire",-33.69993,150.97211,"Private room in home","Private room",2,1,"1 private bath",1,1,"[""Dishwasher"", ""Kitchen"", ""Washer"", ""Microwave"", ""Gas stove"", ""Drying rack for clothing"", ""Blender"", ""Hangers"", ""Exterior security cameras on property"", ""Free parking on premises"", ""Private backyard"", ""Coffee maker: drip coffee maker, espresso machine"", ""Air conditioning"", ""Smart lock"", ""Barbecue utensils"", ""Self check-in"", ""Hot water"", ""TV"", ""Private BBQ grill: gas"", ""Heating"", ""Essentials"", ""Piano"", ""Iron"", ""Smoke alarm"", ""Stainless steel oven"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Free dryer"", ""First aid kit""]",1,30,1,1,30,30,1,"t",0,15,45,184,11,9,0,54,"2019-12-19","2025-05-11",4.91,4.91,4.91,5,5,5,4.91,"f",0.16,71,0
"24","2014-10-06","within a few hours","100%","100%","t","Bondi Beach",2,2,"['email', 'phone']","t","t","Waverley",-33.88947,151.26622,"Entire home","Entire home/apt",4,1,"1 bath",2,2,"[""Conditioner"", ""Ceiling fan"", ""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Washer"", ""Gas stove"", ""Free street parking"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Shower gel"", ""Dishes and silverware"", ""Pets allowed"", ""Cleaning products"", ""Dryer"", ""Hangers"", ""Body soap"", ""Extra pillows and blankets"", ""Board games"", ""Fire extinguisher"", ""Bed linens"", ""Clothing storage: wardrobe"", ""Private patio or balcony"", ""Indoor fireplace"", ""Smart lock"", ""Barbecue utensils"", ""Self check-in"", ""Sonos sound system"", ""Hot water"", ""TV"", ""Private BBQ grill: gas"", ""Outdoor dining area"", ""Wine glasses"", ""Coffee maker"", ""Essentials"", ""Freezer"", ""Books and reading material"", ""Private backyard \u2013 Fully fenced"", ""Baking sheet"", ""Iron"", ""Smoke alarm"", ""Stainless steel oven"", ""Fire pit"", ""Laundromat nearby"", ""Dining table"", ""Single level home"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Coffee"", ""Radiant heating"", ""Shampoo"", ""Wifi"", ""Hot water kettle"", ""Shared beach access"", ""Private entrance""]",4,50,5,5,50,50,5,"t",22,52,82,173,14,1,0,8,"2017-10-29","2025-01-03",4.93,4.93,4.79,5,5,5,4.86,"f",0.15,222.5,0
